"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","CPI","TOT","AGRWTH","M","2022-12",7.817029,
"MEX","CPI","TOT","AGRWTH","M","2023-01",7.910036,
"MEX","CPI","TOT","AGRWTH","M","2023-02",7.618864,
"MEX","CPI","TOT","AGRWTH","M","2023-03",6.849258,
"MEX","CPI","TOT","AGRWTH","M","2023-04",6.252845,
"MEX","CPI","TOT","AGRWTH","M","2023-05",5.835303,
"MEX","CPI","TOT","AGRWTH","M","2023-06",5.055554,
"MEX","CPI","TOT","AGRWTH","M","2023-07",4.785763,
"MEX","CPI","TOT","AGRWTH","M","2023-08",4.638014,
"MEX","CPI","TOT","AGRWTH","M","2023-09",4.454488,
"MEX","CPI","TOT","AGRWTH","M","2023-10",4.257,
"MEX","CPI","TOT","AGRWTH","M","2023-11",4.323913,
"NLD","CPI","TOT","AGRWTH","M","2021-10",3.4203,
"NLD","CPI","TOT","AGRWTH","M","2021-11",5.166806,
"NLD","CPI","TOT","AGRWTH","M","2021-12",5.711637,
"NLD","CPI","TOT","AGRWTH","M","2022-01",6.42074,
"NLD","CPI","TOT","AGRWTH","M","2022-02",6.171134,
"NLD","CPI","TOT","AGRWTH","M","2022-03",9.727198,
"NLD","CPI","TOT","AGRWTH","M","2022-04",9.555596,
"NLD","CPI","TOT","AGRWTH","M","2022-05",8.761191,
"NLD","CPI","TOT","AGRWTH","M","2022-06",8.552932,
"NLD","CPI","TOT","AGRWTH","M","2022-07",10.28758,
"NLD","CPI","TOT","AGRWTH","M","2022-08",11.95917,
"NLD","CPI","TOT","AGRWTH","M","2022-09",14.532,
"NLD","CPI","TOT","AGRWTH","M","2022-10",14.32519,
"NLD","CPI","TOT","AGRWTH","M","2022-11",9.878943,
"NLD","CPI","TOT","AGRWTH","M","2022-12",9.586879,
"NLD","CPI","TOT","AGRWTH","M","2023-01",7.5788,
"NLD","CPI","TOT","AGRWTH","M","2023-02",7.963911,
"NLD","CPI","TOT","AGRWTH","M","2023-03",4.403148,
"NLD","CPI","TOT","AGRWTH","M","2023-04",5.17486,
"NLD","CPI","TOT","AGRWTH","M","2023-05",6.056279,
"NLD","CPI","TOT","AGRWTH","M","2023-06",5.695086,
"NLD","CPI","TOT","AGRWTH","M","2023-07",4.573497,
"NLD","CPI","TOT","AGRWTH","M","2023-08",3.025414,
"NLD","CPI","TOT","AGRWTH","M","2023-09",0.2127827,
"NLD","CPI","TOT","AGRWTH","M","2023-10",-0.4054581,
"NOR","CPI","TOT","AGRWTH","M","2021-10",3.533569,
"NOR","CPI","TOT","AGRWTH","M","2021-11",5.071174,
"NOR","CPI","TOT","AGRWTH","M","2021-12",5.314437,
"NOR","CPI","TOT","AGRWTH","M","2022-01",3.242769,
"NOR","CPI","TOT","AGRWTH","M","2022-02",3.655353,
"NOR","CPI","TOT","AGRWTH","M","2022-03",4.537522,
"NOR","CPI","TOT","AGRWTH","M","2022-04",5.391304,
"NOR","CPI","TOT","AGRWTH","M","2022-05",5.744125,
"NOR","CPI","TOT","AGRWTH","M","2022-06",6.33131,
"NOR","CPI","TOT","AGRWTH","M","2022-07",6.792778,
"NOR","CPI","TOT","AGRWTH","M","2022-08",6.534824,
"NOR","CPI","TOT","AGRWTH","M","2022-09",6.893617,
"NOR","CPI","TOT","AGRWTH","M","2022-10",7.508533,
"NOR","CPI","TOT","AGRWTH","M","2022-11",6.519898,
"NOR","CPI","TOT","AGRWTH","M","2022-12",5.8873,
"NOR","CPI","TOT","AGRWTH","M","2023-01",7.04584,
"NOR","CPI","TOT","AGRWTH","M","2023-02",6.297229,
"NOR","CPI","TOT","AGRWTH","M","2023-03",6.510851,
"NOR","CPI","TOT","AGRWTH","M","2023-04",6.435644,
"NOR","CPI","TOT","AGRWTH","M","2023-05",6.666667,
"NOR","CPI","TOT","AGRWTH","M","2023-06",6.362154,
"NOR","CPI","TOT","AGRWTH","M","2023-07",5.394525,
"NOR","CPI","TOT","AGRWTH","M","2023-08",4.842615,
"NOR","CPI","TOT","AGRWTH","M","2023-09",3.343949,
"NOR","CPI","TOT","AGRWTH","M","2023-10",4.047619,
"NOR","CPI","TOT","AGRWTH","M","2023-11",4.769475,
"POL","CPI","TOT","AGRWTH","M","2021-10",6.8,
"POL","CPI","TOT","AGRWTH","M","2021-11",7.8,
"POL","CPI","TOT","AGRWTH","M","2021-12",8.6,
"POL","CPI","TOT","AGRWTH","M","2022-01",9.4,
"POL","CPI","TOT","AGRWTH","M","2022-02",8.5,
"POL","CPI","TOT","AGRWTH","M","2022-03",11,
"POL","CPI","TOT","AGRWTH","M","2022-04",12.4,
"POL","CPI","TOT","AGRWTH","M","2022-05",13.9,
"POL","CPI","TOT","AGRWTH","M","2022-06",15.5,
"POL","CPI","TOT","AGRWTH","M","2022-07",15.6,
"POL","CPI","TOT","AGRWTH","M","2022-08",16.1,
"POL","CPI","TOT","AGRWTH","M","2022-09",17.2,
"POL","CPI","TOT","AGRWTH","M","2022-10",17.9,
"POL","CPI","TOT","AGRWTH","M","2022-11",17.5,
"POL","CPI","TOT","AGRWTH","M","2022-12",16.6,
"POL","CPI","TOT","AGRWTH","M","2023-01",16.6,
"POL","CPI","TOT","AGRWTH","M","2023-02",18.4,
"POL","CPI","TOT","AGRWTH","M","2023-03",16.1,
"POL","CPI","TOT","AGRWTH","M","2023-04",14.7,
"POL","CPI","TOT","AGRWTH","M","2023-05",13,
"POL","CPI","TOT","AGRWTH","M","2023-06",11.5,
"POL","CPI","TOT","AGRWTH","M","2023-07",10.8,
"POL","CPI","TOT","AGRWTH","M","2023-08",10.1,
"POL","CPI","TOT","AGRWTH","M","2023-09",8.2,
"POL","CPI","TOT","AGRWTH","M","2023-10",6.6,
"PRT","CPI","TOT","AGRWTH","M","2021-10",1.83108,
"PRT","CPI","TOT","AGRWTH","M","2021-11",2.583629,
"PRT","CPI","TOT","AGRWTH","M","2021-12",2.744237,
"PRT","CPI","TOT","AGRWTH","M","2022-01",3.33974,
"PRT","CPI","TOT","AGRWTH","M","2022-02",4.194359,
"PRT","CPI","TOT","AGRWTH","M","2022-03",5.33119,
"PRT","CPI","TOT","AGRWTH","M","2022-04",7.204314,
"PRT","CPI","TOT","AGRWTH","M","2022-05",7.999125,
"PRT","CPI","TOT","AGRWTH","M","2022-06",8.727304,
"PRT","CPI","TOT","AGRWTH","M","2022-07",9.060604,
"PRT","CPI","TOT","AGRWTH","M","2022-08",8.944199,
"PRT","CPI","TOT","AGRWTH","M","2022-09",9.281168,
"PRT","CPI","TOT","AGRWTH","M","2022-10",10.13933,
"PRT","CPI","TOT","AGRWTH","M","2022-11",9.93645,
"PRT","CPI","TOT","AGRWTH","M","2022-12",9.592893,
"PRT","CPI","TOT","AGRWTH","M","2023-01",8.362695,
"PRT","CPI","TOT","AGRWTH","M","2023-02",8.247509,
"PRT","CPI","TOT","AGRWTH","M","2023-03",7.43126,
"PRT","CPI","TOT","AGRWTH","M","2023-04",5.709613,
"PRT","CPI","TOT","AGRWTH","M","2023-05",3.984544,
"PRT","CPI","TOT","AGRWTH","M","2023-06",3.394032,
"PRT","CPI","TOT","AGRWTH","M","2023-07",3.067961,
"PRT","CPI","TOT","AGRWTH","M","2023-08",3.716,
"PRT","CPI","TOT","AGRWTH","M","2023-09",3.575786,
"PRT","CPI","TOT","AGRWTH","M","2023-10",2.117275,
"SVK","CPI","TOT","AGRWTH","M","2021-10",5.084746,
"SVK","CPI","TOT","AGRWTH","M","2021-11",5.590062,
"SVK","CPI","TOT","AGRWTH","M","2021-12",5.819209,
"SVK","CPI","TOT","AGRWTH","M","2022-01",8.367117,
"SVK","CPI","TOT","AGRWTH","M","2022-02",9.044944,
"SVK","CPI","TOT","AGRWTH","M","2022-03",10.39687,
"SVK","CPI","TOT","AGRWTH","M","2022-04",11.71221,
"SVK","CPI","TOT","AGRWTH","M","2022-05",12.55531,
"SVK","CPI","TOT","AGRWTH","M","2022-06",13.25633,
"SVK","CPI","TOT","AGRWTH","M","2022-07",13.6289,
"SVK","CPI","TOT","AGRWTH","M","2022-08",14.06761,
"SVK","CPI","TOT","AGRWTH","M","2022-09",14.16982,
"SVK","CPI","TOT","AGRWTH","M","2022-10",14.89247,
"SVK","CPI","TOT","AGRWTH","M","2022-11",15.34759,
"SVK","CPI","TOT","AGRWTH","M","2022-12",15.3764,
"SVK","CPI","TOT","AGRWTH","M","2023-01",15.19277,
"SVK","CPI","TOT","AGRWTH","M","2023-02",15.40443,
"SVK","CPI","TOT","AGRWTH","M","2023-03",14.73418,
"SVK","CPI","TOT","AGRWTH","M","2023-04",13.77933,
"SVK","CPI","TOT","AGRWTH","M","2023-05",11.94103,
"SVK","CPI","TOT","AGRWTH","M","2023-06",10.87907,
"SVK","CPI","TOT","AGRWTH","M","2023-07",9.682081,
"SVK","CPI","TOT","AGRWTH","M","2023-08",8.843212,
"SVK","CPI","TOT","AGRWTH","M","2023-09",8.195168,
"SVK","CPI","TOT","AGRWTH","M","2023-10",7.06598,
"ESP","CPI","TOT","AGRWTH","M","2021-10",5.366842,
"ESP","CPI","TOT","AGRWTH","M","2021-11",5.516243,
"ESP","CPI","TOT","AGRWTH","M","2021-12",6.549901,
"ESP","CPI","TOT","AGRWTH","M","2022-01",6.132215,
"ESP","CPI","TOT","AGRWTH","M","2022-02",7.623083,
"ESP","CPI","TOT","AGRWTH","M","2022-03",9.818375,
"ESP","CPI","TOT","AGRWTH","M","2022-04",8.344685,
"ESP","CPI","TOT","AGRWTH","M","2022-05",8.727353,
"ESP","CPI","TOT","AGRWTH","M","2022-06",10.2163,
"ESP","CPI","TOT","AGRWTH","M","2022-07",10.77025,
"ESP","CPI","TOT","AGRWTH","M","2022-08",10.54911,
"ESP","CPI","TOT","AGRWTH","M","2022-09",8.871986,
"ESP","CPI","TOT","AGRWTH","M","2022-10",7.264828,
"ESP","CPI","TOT","AGRWTH","M","2022-11",6.809555,
"ESP","CPI","TOT","AGRWTH","M","2022-12",5.70769,
"ESP","CPI","TOT","AGRWTH","M","2023-01",5.890872,
"ESP","CPI","TOT","AGRWTH","M","2023-02",6.034309,
"ESP","CPI","TOT","AGRWTH","M","2023-03",3.295651,
"ESP","CPI","TOT","AGRWTH","M","2023-04",4.095925,
"ESP","CPI","TOT","AGRWTH","M","2023-05",3.19318,
"ESP","CPI","TOT","AGRWTH","M","2023-06",1.892679,
"ESP","CPI","TOT","AGRWTH","M","2023-07",2.325751,
"ESP","CPI","TOT","AGRWTH","M","2023-08",2.615517,
"ESP","CPI","TOT","AGRWTH","M","2023-09",3.516046,
"ESP","CPI","TOT","AGRWTH","M","2023-10",3.467861,
"SWE","CPI","TOT","AGRWTH","M","2021-10",2.810339,
"SWE","CPI","TOT","AGRWTH","M","2021-11",3.272997,
"SWE","CPI","TOT","AGRWTH","M","2021-12",3.869276,
"SWE","CPI","TOT","AGRWTH","M","2022-01",3.688367,
"SWE","CPI","TOT","AGRWTH","M","2022-02",4.291909,
"SWE","CPI","TOT","AGRWTH","M","2022-03",5.966897,
"SWE","CPI","TOT","AGRWTH","M","2022-04",6.360725,
"SWE","CPI","TOT","AGRWTH","M","2022-05",7.26601,
"SWE","CPI","TOT","AGRWTH","M","2022-06",8.681004,
"SWE","CPI","TOT","AGRWTH","M","2022-07",8.488443,
"SWE","CPI","TOT","AGRWTH","M","2022-08",9.831681,
"SWE","CPI","TOT","AGRWTH","M","2022-09",10.83762,
"SWE","CPI","TOT","AGRWTH","M","2022-10",10.85325,
"SWE","CPI","TOT","AGRWTH","M","2022-11",11.46453,
"SWE","CPI","TOT","AGRWTH","M","2022-12",12.33864,
"SWE","CPI","TOT","AGRWTH","M","2023-01",11.67846,
"SWE","CPI","TOT","AGRWTH","M","2023-02",11.95271,
"SWE","CPI","TOT","AGRWTH","M","2023-03",10.63924,
"SWE","CPI","TOT","AGRWTH","M","2023-04",10.4718,
"SWE","CPI","TOT","AGRWTH","M","2023-05",9.66869,
"SWE","CPI","TOT","AGRWTH","M","2023-06",9.311228,
"SWE","CPI","TOT","AGRWTH","M","2023-07",9.262551,
"SWE","CPI","TOT","AGRWTH","M","2023-08",7.453482,
"SWE","CPI","TOT","AGRWTH","M","2023-09",6.482086,
"SWE","CPI","TOT","AGRWTH","M","2023-10",6.51755,
"CHE","CPI","TOT","AGRWTH","M","2021-10",1.241863,
"CHE","CPI","TOT","AGRWTH","M","2021-11",1.532864,
"CHE","CPI","TOT","AGRWTH","M","2021-12",1.5311,
"CHE","CPI","TOT","AGRWTH","M","2022-01",1.648788,
"CHE","CPI","TOT","AGRWTH","M","2022-02",2.150872,
"CHE","CPI","TOT","AGRWTH","M","2022-03",2.386192,
"CHE","CPI","TOT","AGRWTH","M","2022-04",2.548044,
"CHE","CPI","TOT","AGRWTH","M","2022-05",2.942478,
"CHE","CPI","TOT","AGRWTH","M","2022-06",3.384971,
"CHE","CPI","TOT","AGRWTH","M","2022-07",3.433475,
"CHE","CPI","TOT","AGRWTH","M","2022-08",3.45212,
"CHE","CPI","TOT","AGRWTH","M","2022-09",3.252485,
"CHE","CPI","TOT","AGRWTH","M","2022-10",2.996002,
"CHE","CPI","TOT","AGRWTH","M","2022-11",2.960212,
"CHE","CPI","TOT","AGRWTH","M","2022-12",2.840312,
"CHE","CPI","TOT","AGRWTH","M","2023-01",3.282533,
"CHE","CPI","TOT","AGRWTH","M","2023-02",3.371806,
"CHE","CPI","TOT","AGRWTH","M","2023-03",2.945302,
"CHE","CPI","TOT","AGRWTH","M","2023-04",2.565343,
"CHE","CPI","TOT","AGRWTH","M","2023-05",2.158705,
"CHE","CPI","TOT","AGRWTH","M","2023-06",1.710877,
"CHE","CPI","TOT","AGRWTH","M","2023-07",1.605105,
"CHE","CPI","TOT","AGRWTH","M","2023-08",1.554305,
"CHE","CPI","TOT","AGRWTH","M","2023-09",1.654665,
"CHE","CPI","TOT","AGRWTH","M","2023-10",1.693438,
"CHE","CPI","TOT","AGRWTH","M","2023-11",1.443668,
"TUR","CPI","TOT","AGRWTH","M","2021-10",19.89002,
"TUR","CPI","TOT","AGRWTH","M","2021-11",21.31253,
"TUR","CPI","TOT","AGRWTH","M","2021-12",36.0809,
"TUR","CPI","TOT","AGRWTH","M","2022-01",48.69082,
"TUR","CPI","TOT","AGRWTH","M","2022-02",54.43857,
"TUR","CPI","TOT","AGRWTH","M","2022-03",61.14454,
"TUR","CPI","TOT","AGRWTH","M","2022-04",69.97107,
"TUR","CPI","TOT","AGRWTH","M","2022-05",73.49595,
"TUR","CPI","TOT","AGRWTH","M","2022-06",78.6184,
"TUR","CPI","TOT","AGRWTH","M","2022-07",79.60205,
"TUR","CPI","TOT","AGRWTH","M","2022-08",80.2076,
"TUR","CPI","TOT","AGRWTH","M","2022-09",83.45249,
"TUR","CPI","TOT","AGRWTH","M","2022-10",85.51479,
"TUR","CPI","TOT","AGRWTH","M","2022-11",84.38926,
"TUR","CPI","TOT","AGRWTH","M","2022-12",64.2696,
"TUR","CPI","TOT","AGRWTH","M","2023-01",57.68248,
"TUR","CPI","TOT","AGRWTH","M","2023-02",55.17983,
"TUR","CPI","TOT","AGRWTH","M","2023-03",50.50851,
"TUR","CPI","TOT","AGRWTH","M","2023-04",43.68417,
"TUR","CPI","TOT","AGRWTH","M","2023-05",39.5853,
"TUR","CPI","TOT","AGRWTH","M","2023-06",38.21352,
"TUR","CPI","TOT","AGRWTH","M","2023-07",47.83173,
"TUR","CPI","TOT","AGRWTH","M","2023-08",58.94353,
"TUR","CPI","TOT","AGRWTH","M","2023-09",61.52987,
"TUR","CPI","TOT","AGRWTH","M","2023-10",61.35701,
"GBR","CPI","TOT","AGRWTH","M","2021-10",3.8,
"GBR","CPI","TOT","AGRWTH","M","2021-11",4.6,
"GBR","CPI","TOT","AGRWTH","M","2021-12",4.8,
"GBR","CPI","TOT","AGRWTH","M","2022-01",4.9,
"GBR","CPI","TOT","AGRWTH","M","2022-02",5.5,
"GBR","CPI","TOT","AGRWTH","M","2022-03",6.2,
"GBR","CPI","TOT","AGRWTH","M","2022-04",7.8,
"GBR","CPI","TOT","AGRWTH","M","2022-05",7.9,
"GBR","CPI","TOT","AGRWTH","M","2022-06",8.2,
"GBR","CPI","TOT","AGRWTH","M","2022-07",8.8,
"GBR","CPI","TOT","AGRWTH","M","2022-08",8.6,
"GBR","CPI","TOT","AGRWTH","M","2022-09",8.8,
"GBR","CPI","TOT","AGRWTH","M","2022-10",9.6,
"GBR","CPI","TOT","AGRWTH","M","2022-11",9.3,
"GBR","CPI","TOT","AGRWTH","M","2022-12",9.2,
"GBR","CPI","TOT","AGRWTH","M","2023-01",8.8,
"GBR","CPI","TOT","AGRWTH","M","2023-02",9.2,
"GBR","CPI","TOT","AGRWTH","M","2023-03",8.9,
"GBR","CPI","TOT","AGRWTH","M","2023-04",7.8,
"GBR","CPI","TOT","AGRWTH","M","2023-05",7.9,
"GBR","CPI","TOT","AGRWTH","M","2023-06",7.3,
"GBR","CPI","TOT","AGRWTH","M","2023-07",6.4,
"GBR","CPI","TOT","AGRWTH","M","2023-08",6.3,
"GBR","CPI","TOT","AGRWTH","M","2023-09",6.3,
"GBR","CPI","TOT","AGRWTH","M","2023-10",4.7,
"USA","CPI","TOT","AGRWTH","M","2021-10",6.221869,
"USA","CPI","TOT","AGRWTH","M","2021-11",6.809003,
"USA","CPI","TOT","AGRWTH","M","2021-12",7.036403,
"USA","CPI","TOT","AGRWTH","M","2022-01",7.479873,
"USA","CPI","TOT","AGRWTH","M","2022-02",7.871064,
"USA","CPI","TOT","AGRWTH","M","2022-03",8.542456,
"USA","CPI","TOT","AGRWTH","M","2022-04",8.25863,
"USA","CPI","TOT","AGRWTH","M","2022-05",8.581511,
"USA","CPI","TOT","AGRWTH","M","2022-06",9.059758,
"USA","CPI","TOT","AGRWTH","M","2022-07",8.524815,
"USA","CPI","TOT","AGRWTH","M","2022-08",8.262692,
"USA","CPI","TOT","AGRWTH","M","2022-09",8.20167,
"USA","CPI","TOT","AGRWTH","M","2022-10",7.745427,
"USA","CPI","TOT","AGRWTH","M","2022-11",7.110323,
"USA","CPI","TOT","AGRWTH","M","2022-12",6.454401,
"USA","CPI","TOT","AGRWTH","M","2023-01",6.410147,
"USA","CPI","TOT","AGRWTH","M","2023-02",6.035613,
"USA","CPI","TOT","AGRWTH","M","2023-03",4.984974,
"USA","CPI","TOT","AGRWTH","M","2023-04",4.93032,
"USA","CPI","TOT","AGRWTH","M","2023-05",4.047609,
"USA","CPI","TOT","AGRWTH","M","2023-06",2.969178,
"USA","CPI","TOT","AGRWTH","M","2023-07",3.17778,
"USA","CPI","TOT","AGRWTH","M","2023-08",3.665112,
"USA","CPI","TOT","AGRWTH","M","2023-09",3.699698,
"USA","CPI","TOT","AGRWTH","M","2023-10",3.241145,
"BRA","CPI","TOT","AGRWTH","M","2021-10",10.67262,
"BRA","CPI","TOT","AGRWTH","M","2021-11",10.7385,
"BRA","CPI","TOT","AGRWTH","M","2021-12",10.06098,
"BRA","CPI","TOT","AGRWTH","M","2022-01",10.37943,
"BRA","CPI","TOT","AGRWTH","M","2022-02",10.54366,
"BRA","CPI","TOT","AGRWTH","M","2022-03",11.29941,
"BRA","CPI","TOT","AGRWTH","M","2022-04",12.13163,
"BRA","CPI","TOT","AGRWTH","M","2022-05",11.73121,
"BRA","CPI","TOT","AGRWTH","M","2022-06",11.88687,
"BRA","CPI","TOT","AGRWTH","M","2022-07",10.0694,
"BRA","CPI","TOT","AGRWTH","M","2022-08",8.727291,
"BRA","CPI","TOT","AGRWTH","M","2022-09",7.168825,
"BRA","CPI","TOT","AGRWTH","M","2022-10",6.470372,
"BRA","CPI","TOT","AGRWTH","M","2022-11",5.900729,
"BRA","CPI","TOT","AGRWTH","M","2022-12",5.785093,
"BRA","CPI","TOT","AGRWTH","M","2023-01",5.774497,
"BRA","CPI","TOT","AGRWTH","M","2023-02",5.596405,
"BRA","CPI","TOT","AGRWTH","M","2023-03",4.65078,
"BRA","CPI","TOT","AGRWTH","M","2023-04",4.184788,
"BRA","CPI","TOT","AGRWTH","M","2023-05",3.935829,
"BRA","CPI","TOT","AGRWTH","M","2023-06",3.161474,
"BRA","CPI","TOT","AGRWTH","M","2023-07",3.992389,
"BRA","CPI","TOT","AGRWTH","M","2023-08",4.60817,
"BRA","CPI","TOT","AGRWTH","M","2023-09",5.18528,
"BRA","CPI","TOT","AGRWTH","M","2023-10",4.819185,
"CHL","CPI","TOT","AGRWTH","M","2021-10",6.027037,
"CHL","CPI","TOT","AGRWTH","M","2021-11",6.702388,
"CHL","CPI","TOT","AGRWTH","M","2021-12",7.166948,
"CHL","CPI","TOT","AGRWTH","M","2022-01",7.703042,
"CHL","CPI","TOT","AGRWTH","M","2022-02",7.809453,
"CHL","CPI","TOT","AGRWTH","M","2022-03",9.408826,
"CHL","CPI","TOT","AGRWTH","M","2022-04",10.51613,
"CHL","CPI","TOT","AGRWTH","M","2022-05",11.54518,
"CHL","CPI","TOT","AGRWTH","M","2022-06",12.49082,
"CHL","CPI","TOT","AGRWTH","M","2022-07",13.11953,
"CHL","CPI","TOT","AGRWTH","M","2022-08",14.08988,
"CHL","CPI","TOT","AGRWTH","M","2022-09",13.72813,
"CHL","CPI","TOT","AGRWTH","M","2022-10",12.81211,
"CHL","CPI","TOT","AGRWTH","M","2022-11",13.33803,
"CHL","CPI","TOT","AGRWTH","M","2022-12",12.78958,
"CHL","CPI","TOT","AGRWTH","M","2023-01",12.3348,
"CHL","CPI","TOT","AGRWTH","M","2023-02",11.9466,
"CHL","CPI","TOT","AGRWTH","M","2023-03",11.0942,
"CHL","CPI","TOT","AGRWTH","M","2023-04",9.907431,
"CHL","CPI","TOT","AGRWTH","M","2023-05",8.726823,
"CHL","CPI","TOT","AGRWTH","M","2023-06",7.560418,
"CHL","CPI","TOT","AGRWTH","M","2023-07",6.475515,
"CHL","CPI","TOT","AGRWTH","M","2023-08",5.315509,
"CHL","CPI","TOT","AGRWTH","M","2023-09",5.120316,
"CHL","CPI","TOT","AGRWTH","M","2023-10",5.031002,
"CHL","CPI","TOT","AGRWTH","M","2023-11",4.795958,
"CHN","CPI","TOT","AGRWTH","M","2021-10",1.5,
"CHN","CPI","TOT","AGRWTH","M","2021-11",2.3,
"CHN","CPI","TOT","AGRWTH","M","2021-12",1.5,
"CHN","CPI","TOT","AGRWTH","M","2022-01",0.9,
"CHN","CPI","TOT","AGRWTH","M","2022-02",0.9,
"CHN","CPI","TOT","AGRWTH","M","2022-03",1.5,
"CHN","CPI","TOT","AGRWTH","M","2022-04",2.1,
"CHN","CPI","TOT","AGRWTH","M","2022-05",2.1,
"CHN","CPI","TOT","AGRWTH","M","2022-06",2.5,
"CHN","CPI","TOT","AGRWTH","M","2022-07",2.7,
"CHN","CPI","TOT","AGRWTH","M","2022-08",2.5,
"CHN","CPI","TOT","AGRWTH","M","2022-09",2.8,
"CHN","CPI","TOT","AGRWTH","M","2022-10",2.1,
"CHN","CPI","TOT","AGRWTH","M","2022-11",1.6,
"CHN","CPI","TOT","AGRWTH","M","2022-12",1.8,
"CHN","CPI","TOT","AGRWTH","M","2023-01",2.1,
"CHN","CPI","TOT","AGRWTH","M","2023-02",1,
"CHN","CPI","TOT","AGRWTH","M","2023-03",0.7,
"CHN","CPI","TOT","AGRWTH","M","2023-04",0.1,
"CHN","CPI","TOT","AGRWTH","M","2023-05",0.2,
"CHN","CPI","TOT","AGRWTH","M","2023-06",0,
"CHN","CPI","TOT","AGRWTH","M","2023-07",-0.3,
"CHN","CPI","TOT","AGRWTH","M","2023-08",0.1,
"CHN","CPI","TOT","AGRWTH","M","2023-09",0,
"CHN","CPI","TOT","AGRWTH","M","2023-10",-0.2,
"EST","CPI","TOT","AGRWTH","M","2021-10",7.021677,
"EST","CPI","TOT","AGRWTH","M","2021-11",8.847059,
"EST","CPI","TOT","AGRWTH","M","2021-12",12.14118,
"EST","CPI","TOT","AGRWTH","M","2022-01",11.3137,
"EST","CPI","TOT","AGRWTH","M","2022-02",12.00742,
"EST","CPI","TOT","AGRWTH","M","2022-03",15.18811,
"EST","CPI","TOT","AGRWTH","M","2022-04",18.88015,
"EST","CPI","TOT","AGRWTH","M","2022-05",19.98167,
"EST","CPI","TOT","AGRWTH","M","2022-06",21.8396,
"EST","CPI","TOT","AGRWTH","M","2022-07",22.86068,
"EST","CPI","TOT","AGRWTH","M","2022-08",24.78861,
"EST","CPI","TOT","AGRWTH","M","2022-09",23.64835,
"EST","CPI","TOT","AGRWTH","M","2022-10",22.5011,
"EST","CPI","TOT","AGRWTH","M","2022-11",21.31431,
"EST","CPI","TOT","AGRWTH","M","2022-12",17.62484,
"EST","CPI","TOT","AGRWTH","M","2023-01",18.60563,
"EST","CPI","TOT","AGRWTH","M","2023-02",17.54967,
"EST","CPI","TOT","AGRWTH","M","2023-03",15.28226,
"EST","CPI","TOT","AGRWTH","M","2023-04",13.46828,
"EST","CPI","TOT","AGRWTH","M","2023-05",11.30634,
"EST","CPI","TOT","AGRWTH","M","2023-06",9.185571,
"EST","CPI","TOT","AGRWTH","M","2023-07",6.420172,
"EST","CPI","TOT","AGRWTH","M","2023-08",4.600571,
"EST","CPI","TOT","AGRWTH","M","2023-09",4.230359,
"EST","CPI","TOT","AGRWTH","M","2023-10",4.924515,
"EST","CPI","TOT","AGRWTH","M","2023-11",4.027085,
"IND","CPI","TOT","AGRWTH","M","2021-10",4.518828,
"IND","CPI","TOT","AGRWTH","M","2021-11",4.837365,
"IND","CPI","TOT","AGRWTH","M","2021-12",5.555555,
"IND","CPI","TOT","AGRWTH","M","2022-01",5.837564,
"IND","CPI","TOT","AGRWTH","M","2022-02",5.042017,
"IND","CPI","TOT","AGRWTH","M","2022-03",5.351171,
"IND","CPI","TOT","AGRWTH","M","2022-04",6.32806,
"IND","CPI","TOT","AGRWTH","M","2022-05",6.965174,
"IND","CPI","TOT","AGRWTH","M","2022-06",6.162695,
"IND","CPI","TOT","AGRWTH","M","2022-07",5.781759,
"IND","CPI","TOT","AGRWTH","M","2022-08",5.853659,
"IND","CPI","TOT","AGRWTH","M","2022-09",6.48824,
"IND","CPI","TOT","AGRWTH","M","2022-10",6.084868,
"IND","CPI","TOT","AGRWTH","M","2022-11",5.409706,
"IND","CPI","TOT","AGRWTH","M","2022-12",5.502392,
"IND","CPI","TOT","AGRWTH","M","2023-01",6.155076,
"IND","CPI","TOT","AGRWTH","M","2023-02",6.16,
"IND","CPI","TOT","AGRWTH","M","2023-03",5.793651,
"IND","CPI","TOT","AGRWTH","M","2023-04",5.090055,
"IND","CPI","TOT","AGRWTH","M","2023-05",4.418605,
"IND","CPI","TOT","AGRWTH","M","2023-06",5.572755,
"IND","CPI","TOT","AGRWTH","M","2023-07",7.544265,
"IND","CPI","TOT","AGRWTH","M","2023-08",6.912442,
"IND","CPI","TOT","AGRWTH","M","2023-09",4.722011,
"IND","CPI","TOT","AGRWTH","M","2023-10",4.45283,
"IDN","CPI","TOT","AGRWTH","M","2021-10",1.658406,
"IDN","CPI","TOT","AGRWTH","M","2021-11",1.748883,
"IDN","CPI","TOT","AGRWTH","M","2021-12",1.873581,
"IDN","CPI","TOT","AGRWTH","M","2022-01",2.180274,
"IDN","CPI","TOT","AGRWTH","M","2022-02",2.05544,
"IDN","CPI","TOT","AGRWTH","M","2022-03",2.637777,
"IDN","CPI","TOT","AGRWTH","M","2022-04",3.471634,
"IDN","CPI","TOT","AGRWTH","M","2022-05",3.554347,
"IDN","CPI","TOT","AGRWTH","M","2022-06",4.349051,
"IDN","CPI","TOT","AGRWTH","M","2022-07",4.937113,
"IDN","CPI","TOT","AGRWTH","M","2022-08",4.691752,
"IDN","CPI","TOT","AGRWTH","M","2022-09",5.951375,
